episode,reward,score,steps,win,epsilon
1,-299.1,0,2,0,1.0
2,-299.65000000000003,0,3,0,0.995
3,-301.15000000000003,0,3,0,0.990025
4,-300.2,0,4,0,0.985074875
5,-300.75,0,5,0,0.9801495006250001
6,-299.65000000000003,0,3,0,0.9752487531218751
7,-299.65000000000003,0,3,0,0.9703725093562657
8,-301.15000000000003,0,3,0,0.9655206468094844
9,-188.9,1,8,0,0.960693043575437
10,-300.2,0,4,0,0.9558895783575597
11,-299.8,0,6,0,0.9511101304657719
12,-299.1,0,2,0,0.946354579813443
13,-300.6,0,2,0,0.9416228069143757
14,-298.85,0,7,0,0.9369146928798039
15,-299.65000000000003,0,3,0,0.9322301194154049
16,-299.65000000000003,0,3,0,0.9275689688183278
17,-187.4,1,8,0,0.9229311239742362
18,-299.65000000000003,0,3,0,0.918316468354365
19,-300.2,0,4,0,0.9137248860125932
20,-300.6,0,2,0,0.9091562615825302
21,-299.25,0,5,0,0.9046104802746175
22,-189.15,1,3,0,0.9000874278732445
23,-188.2,1,4,0,0.8955869907338783
24,-300.35,0,7,0,0.8911090557802088
25,-300.6,0,2,0,0.8866535105013078
26,-188.89999999999998,1,8,0,0.8822202429488013
27,-299.8,0,6,0,0.8778091417340573
28,-190.10000000000002,1,2,0,0.8734200960253871
29,-300.2,0,4,0,0.8690529955452602
30,-300.6,0,2,0,0.8647077305675338
31,-189.15,1,3,0,0.8603841919146962
32,-299.1,0,2,0,0.8560822709551227
33,-300.6,0,2,0,0.851801859600347
34,-188.35000000000002,1,7,0,0.8475428503023453
35,-189.3,1,6,0,0.8433051360508336
36,-189.85000000000002,1,7,0,0.8390886103705794
37,-188.75,1,5,0,0.8348931673187264
38,-190.10000000000002,1,2,0,0.8307187014821328
39,-300.6,0,2,0,0.8265651079747222
40,-299.65000000000003,0,3,0,0.8224322824348486
41,-299.1,0,2,0,0.8183201210226743
42,-299.1,0,2,0,0.8142285204175609
43,-189.45,1,9,0,0.810157377815473
44,-300.6,0,2,0,0.8061065909263957
45,-61.27603290005928,2,25,0,0.8020760579717637
46,-189.15,1,3,0,0.798065677681905
47,-299.1,0,2,0,0.7940753492934954
48,-299.1,0,2,0,0.7901049725470279
49,-65.2760329000593,2,5,0,0.7861544476842928
50,-188.2,1,4,0,0.7822236754458713
51,-189.15,1,3,0,0.778312557068642
52,-301.15000000000003,0,3,0,0.7744209942832988
53,-64.32603290005932,2,6,0,0.7705488893118823
54,-299.65000000000003,0,3,0,0.7666961448653229
55,-299.95,0,9,0,0.7628626641409962
56,-66.37603290005933,2,7,0,0.7590483508202912
57,-299.1,0,2,0,0.7552531090661897
58,-298.6,0,12,0,0.7514768435208588
59,-65.82603290005932,2,6,0,0.7477194593032545
60,-300.75,0,5,0,0.7439808620067382
61,-65.42603290005928,2,8,0,0.7402609576967045
62,-297.25,0,15,0,0.736559652908221
63,-299.1,0,2,0,0.7328768546436799
64,-298.85,0,7,0,0.7292124703704616
65,-299.1,0,2,0,0.7255664080186093
66,-300.6,0,2,0,0.7219385759785162
67,-65.2760329000593,2,5,0,0.7183288830986236
68,-299.65000000000003,0,3,0,0.7147372386831305
69,-299.1,0,2,0,0.7111635524897149
70,-298.3,0,6,0,0.7076077347272662
71,-300.6,0,2,0,0.7040696960536299
72,-188.75,1,5,0,0.7005493475733617
73,-299.25,0,5,0,0.697046600835495
74,-300.35,0,7,0,0.6935613678313175
75,-299.65000000000003,0,3,0,0.6900935609921609
76,-299.1,0,2,0,0.6866430931872001
77,-188.75,1,5,0,0.6832098777212641
78,-299.65000000000003,0,3,0,0.6797938283326578
79,-298.3,0,6,0,0.6763948591909945
80,-298.85,0,7,0,0.6730128848950395
81,-187.8,1,6,0,0.6696478204705644
82,-66.2260329000593,2,4,0,0.6662995813682115
83,-66.2260329000593,2,4,0,0.6629680834613705
84,-300.6,0,2,0,0.6596532430440636
85,-300.2,0,4,0,0.6563549768288433
86,-298.75,0,15,0,0.653073201944699
87,-66.2260329000593,2,4,0,0.6498078359349755
88,-66.3760329000593,2,7,0,0.6465587967553006
89,-189.7,1,4,0,0.6433260027715241
90,-300.6,0,2,0,0.6401093727576664
91,-66.7760329000593,2,5,0,0.6369088258938781
92,224.62621171932193,4,10,0,0.6337242817644086
93,-187.0,1,10,0,0.6305556603555866
94,-187.0,1,10,0,0.6274028820538087
95,-298.3,0,6,0,0.6242658676435396
96,-64.87603290005933,2,7,0,0.6211445383053219
97,-66.7760329000593,2,5,0,0.6180388156137953
98,-188.10000000000002,1,12,0,0.6149486215357263
99,-190.10000000000002,1,2,0,0.6118738784280476
100,-64.4760329000593,2,9,0,0.6088145090359074
101,72.99589528840619,3,7,0,0.6057704364907278
102,-187.8,1,6,0,0.6027415843082742
103,-185.89999999999998,1,8,0,0.5997278763867329
104,-65.2760329000593,2,5,0,0.5967292370047992
105,-65.9760329000593,2,9,0,0.5937455908197752
106,-189.85000000000002,1,7,0,0.5907768628656763
107,-190.10000000000002,1,2,0,0.5878229785513479
108,-64.87603290005933,2,7,0,0.5848838636585911
109,-189.7,1,4,0,0.5819594443402982
110,-189.15,1,3,0,0.5790496471185967
111,-66.2260329000593,2,4,0,0.5761543988830038
112,72.0458952884062,3,6,0,0.5732736268885887
113,-300.6,0,2,0,0.5704072587541458
114,-300.2,0,4,0,0.567555222460375
115,-299.1,0,2,0,0.5647174463480732
116,-299.1,0,2,0,0.5618938591163328
117,-299.65000000000003,0,3,0,0.5590843898207511
118,-301.15000000000003,0,3,0,0.5562889678716474
119,-301.15000000000003,0,3,0,0.5535075230322891
120,-299.25,0,5,0,0.5507399854171277
121,-188.1,1,12,0,0.547986285490042
122,-188.75,1,5,0,0.5452463540625918
123,-300.6,0,2,0,0.5425201222922789
124,-189.15,1,3,0,0.5398075216808175
125,-64.8760329000593,2,7,0,0.5371084840724134
126,-188.35000000000002,1,7,0,0.5344229416520513
127,-188.2,1,4,0,0.531750826943791
128,72.44589528840618,3,8,0,0.5290920728090721
129,-66.2260329000593,2,4,0,0.5264466124450268
130,-188.75,1,5,0,0.5238143793828016
131,-300.6,0,2,0,0.5211953074858876
132,-188.75,1,5,0,0.5185893309484582
133,-188.75,1,5,0,0.5159963842937159
134,74.89589528840622,3,9,0,0.5134164023722473
135,-190.10000000000002,1,2,0,0.510849320360386
136,-299.65000000000003,0,3,0,0.5082950737585841
137,-299.65000000000003,0,3,0,0.5057535983897912
138,-190.65,1,3,0,0.5032248303978422
139,-63.276032900059306,2,15,0,0.500708706245853
140,-189.7,1,4,0,0.4982051627146237
141,-300.6,0,2,0,0.49571413690105054
142,-300.6,0,2,0,0.4932355662165453
143,-300.2,0,4,0,0.4907693883854626
144,-66.2260329000593,2,4,0,0.4883155414435353
145,-66.2260329000593,2,4,0,0.4858739637363176
146,-186.45,1,9,0,0.483444593917636
147,-65.27603290005933,2,5,0,0.4810273709480478
148,-188.75,1,5,0,0.47862223409330756
149,-300.35,0,7,0,0.47622912292284103
150,-67.17603290005931,2,3,0,0.4738479773082268
151,-64.07603290005932,2,11,0,0.47147873742168567
152,-64.8760329000593,2,7,0,0.46912134373457726
153,-299.1,0,2,0,0.46677573701590436
154,-299.1,0,2,0,0.46444185833082485
155,-189.15,1,3,0,0.46211964903917074
156,-64.4760329000593,2,9,0,0.4598090507939749
157,-301.15000000000003,0,3,0,0.457510005540005
158,70.94589528840618,3,8,0,0.45522245551230495
159,-300.6,0,2,0,0.4529463432347434
160,-298.85,0,7,0,0.4506816115185697
161,227.07621171932186,4,11,0,0.4484282034609769
162,-186.85000000000002,1,7,0,0.446186062443672
163,-65.82603290005932,2,6,0,0.4439551321314536
164,-64.4760329000593,2,9,0,0.4417353564707963
165,-190.10000000000002,1,2,0,0.43952667968844233
166,-298.3,0,6,0,0.43732904629000013
167,70.14589528840617,3,4,0,0.4351424010585501
168,-64.8760329000593,2,7,0,0.43296668905325736
169,-66.7760329000593,2,5,0,0.43080185560799106
170,73.79589528840614,3,11,0,0.4286478463299511
171,-189.15,1,3,0,0.42650460709830135
172,-66.7760329000593,2,5,0,0.42437208406280985
173,-300.6,0,2,0,0.4222502236424958
174,-190.10000000000002,1,2,0,0.42013897252428334
175,-64.4760329000593,2,9,0,0.4180382776616619
176,71.09589528840621,3,5,0,0.4159480862733536
177,-189.15,1,3,0,0.41386834584198684
178,685.2208396586984,6,15,0,0.4117990041127769
179,72.99589528840619,3,7,0,0.40974000909221303
180,-65.2760329000593,2,5,0,0.40769130904675194
181,-301.15000000000003,0,3,0,0.40565285250151817
182,-299.65000000000003,0,3,0,0.4036245882390106
183,-187.14999999999998,1,13,0,0.4016064652978155
184,72.44589528840618,3,8,0,0.3995984329713264
185,-188.5,1,10,0,0.3976004408064698
186,-67.17603290005931,2,3,0,0.39561243860243744
187,-299.40000000000003,0,8,0,0.3936343764094253
188,-187.95,1,9,0,0.39166620452737816
189,-63.12603290005933,2,12,0,0.3897078735047413
190,-188.35000000000002,1,7,0,0.3877593341372176
191,-299.8,0,6,0,0.3858205374665315
192,-66.2260329000593,2,4,0,0.38389143477919885
193,-299.8,0,6,0,0.3819719776053028
194,-189.15,1,3,0,0.3800621177172763
195,-299.1,0,2,0,0.37816180712868996
196,-301.15000000000003,0,3,0,0.37627099809304654
197,71.09589528840621,3,5,0,0.3743896431025813
198,225.72621171932195,4,8,0,0.37251769488706843
199,-299.1,0,2,0,0.3706551064126331
200,496.56269479238284,5,11,0,0.36880183088056995
201,-190.65,1,3,0,0.3669578217261671
202,-300.2,0,4,0,0.36512303261753626
203,73.39589528840617,3,9,0,0.3632974174544486
204,-188.35000000000002,1,7,0,0.3614809303671764
205,-189.15,1,3,0,0.3596735257153405
206,71.09589528840621,3,5,0,0.3578751580867638
207,-301.15000000000003,0,3,0,0.35608578229633
208,-189.15,1,3,0,0.3543053533848483
209,224.7762117193219,4,7,0,0.35253382661792404
210,72.99589528840619,3,7,0,0.3507711574848344
211,-61.22603290005932,2,14,0,0.34901730169741024
212,73.39589528840617,3,9,0,0.3472722151889232
213,229.5262117193219,4,12,0,0.3455358541129786
214,70.14589528840617,3,4,0,0.3438081748424137
215,-65.2760329000593,2,5,0,0.3420891339682016
216,-64.8760329000593,2,7,0,0.3403786882983606
217,-188.75,1,5,0,0.3386767948568688
218,-67.17603290005931,2,3,0,0.33698341088258443
219,-64.87603290005936,2,7,0,0.3352984938281715
220,225.176211719322,4,9,0,0.33362200135903064
221,-188.75,1,5,0,0.33195389135223546
222,-64.4760329000593,2,9,0,0.3302941218954743
223,1112.3822862911486,8,23,1,0.32864265128599696
224,72.99589528840619,3,7,0,0.326999438029567
225,-63.526032900059334,2,10,0,0.3253644408394192
226,-188.9,1,8,0,0.3237376186352221
227,-185.64999999999998,1,13,0,0.322118930542046
228,72.0458952884062,3,6,0,0.32050833588933575
229,-65.82603290005932,2,6,0,0.31890579420988907
230,-189.15,1,3,0,0.3173112652388396
231,-64.8760329000593,2,7,0,0.3157247089126454
232,225.57621171932186,4,11,0,0.3141460853680822
233,-301.15000000000003,0,3,0,0.3125753549412418
234,-67.17603290005931,2,3,0,0.31101247816653554
235,-65.42603290005931,2,8,0,0.30945741577570285
236,-299.65000000000003,0,3,0,0.3079101286968243
237,71.49589528840613,3,7,0,0.3063705780533402
238,72.99589528840619,3,7,0,0.30483872516307353
239,-298.3,0,6,0,0.3033145315372582
240,-300.6,0,2,0,0.3017979588795719
241,228.0262117193219,4,12,0,0.30028896908517405
242,-188.89999999999998,1,8,0,0.2987875242397482
243,72.99589528840619,3,7,0,0.29729358661854943
244,76.64589528840617,3,14,0,0.29580711868545667
245,-67.17603290005931,2,3,0,0.2943280830920294
246,75.84589528840615,3,10,0,0.29285644267656924
247,-300.6,0,2,0,0.2913921604631864
248,75.29589528840614,3,11,0,0.28993519966087045
249,-65.82603290005932,2,6,0,0.2884855236625661
250,-187.8,1,6,0,0.28704309604425327
251,-64.62603290005939,2,12,0,0.285607880564032
252,-187.39999999999998,1,8,0,0.28417984116121187
253,-189.15,1,3,0,0.2827589419554058
254,223.2762117193219,4,7,0,0.28134514724562876
255,-190.10000000000002,1,2,0,0.2799384215094006
256,225.72621171932207,4,8,0,0.27853872940185365
257,-62.42603290005931,2,8,0,0.27714603575484437
258,-65.82603290005932,2,6,0,0.2757603055760701
259,-65.82603290005932,2,6,0,0.2743815040481898
260,-300.6,0,2,0,0.2730095965279488
261,-186.3,1,6,0,0.27164454854530906
262,73.7958952884062,3,11,0,0.2702863258025825
263,-63.92603290005928,2,8,0,0.2689348941735696
264,76.09589528840615,3,15,0,0.26759021970270175
265,72.44589528840618,3,8,0,0.2662522686041882
266,75.24589528840619,3,22,0,0.2649210072611673
267,-64.8760329000593,2,7,0,0.26359640222486147
268,493.7126947923827,5,8,0,0.26227842021373715
269,-190.65,1,3,0,0.2609670281126685
270,3646.4983879435313,9,14,1,0.25966219297210513
271,-299.1,0,2,0,0.2583638820072446
272,885.624960970317,7,13,0,0.2570720625972084
273,-190.65,1,3,0,0.25578670228422234
274,-65.2760329000593,2,5,0,0.25450776877280124
275,-67.17603290005931,2,3,0,0.2532352299289372
276,72.44589528840618,3,8,0,0.2519690537792925
277,227.62621171932193,4,10,0,0.2507092085103961
278,-66.2260329000593,2,4,0,0.2494556624678441
279,-189.15,1,3,0,0.24820838415550486
280,-298.7,0,4,0,0.24696734223472733
281,224.77621171932202,4,7,0,0.2457325055235537
282,73.94589528840618,3,8,0,0.24450384299593592
283,226.676211719322,4,9,0,0.24328132378095624
284,225.72621171932195,4,8,0,0.24206491716205145
285,-299.1,0,2,0,0.2408545925762412
286,72.99589528840619,3,7,0,0.23965031961336
287,-65.2760329000593,2,5,0,0.2384520680152932
288,-64.32603290005932,2,6,0,0.23725980767521673
289,226.12621171932193,4,10,0,0.23607350863684065
290,71.89589528840617,3,9,0,0.23489314109365644
291,74.3458952884061,3,10,0,0.23371867538818816
292,-301.15000000000003,0,3,0,0.23255008201124722
293,-188.2,1,4,0,0.231387331601191
294,76.0958952884061,3,15,0,0.23023039494318503
295,73.94589528840618,3,8,0,0.2290792429684691
296,73.94589528840618,3,8,0,0.22793384675362674
297,495.6126947923828,5,10,0,0.22679417751985861
298,-189.15,1,3,0,0.22566020663225933
299,493.7126947923827,5,8,0,0.22453190559909803
300,-188.75,1,5,0,0.22340924607110255
